Name,Pieces,Minifigs
Creative LEGO DUPLO Brick Set,,
Creative LEGO Brick Set,1000,
WeDo 2.0 Core Set,280,
WeDo 2.0 Smart Hub,1,
WeDo 2.0 Smarthub Rechargeable Battery,1,
WeDo 2.0 Medium Motor,1,
WeDo 2.0 Motion Sensor,1,
WeDo 2.0 Tilt Sensor,1,
Animal Allies,2161,2
Creature Craze Inspire Set,81,
World Robot Olympiad Brick Set,,
Airport Starter Set,81,4
Airport Cargo Plane,157,2
Airport VIP Service,364,4
Airport Air Show,670,6
Airport Passenger Terminal,694,6
Fire ATV,64,1
Fire Starter Set,90,4
Fire Ladder Truck,214,2
Fire Response Unit,257,3
Fire Boat,412,5
Fire Station,919,6
Fire Utility Truck,368,3
Fire Engine,376,3
Rally Car,104,1
Race Boat,95,1
4 x 4 Off Roader,176,2
Ambulance Plane,183,3
Van & Caravan,250,2
Garbage Truck,248,2
Ferry,301,2
Volcano Starter Set,83,4
Volcano Exploration Truck,175,2
Volcano Crawler,324,3
Volcano Supply Helicopter,330,3
Volcano Exploration Base,824,6
Volcano Heavy-Lift Helicopter,1277,8
Tire Escape,47,2
Prison Island Starter Set,92,4
Police Pursuit,184,2
Police Patrol Boat,200,4
Prison Island,754,8
Crooks Island,244,3
Service Station,515,4
City Advent Calendar,290,7
People Pack - Fun in the Park,157,15
3-in-1 Super Pack,,
Forests Value Pack,,
Heartlake Value Pack,,
City Volcano Value Pack,,
City Fire Value Pack,,
Microfighters Super Pack 3 in 1,,
Microfighters Super Pack 3 in 1,,
Mighty Micros Mighty Pack 3 in 1,,
"Axl's Tower Carrier, Extra Awesome Edition",,
"Rock Roader, Extra Awesome Edition",,
"Salvage M.E.C., Extra Awesome Edition",,
Knighton Battle Blaster,76,2
Chaos Catapult,93,2
Lance's Mecha Horse,237,3
Moltor's Lava Smasher,187,2
Beast Master's Chaos Chariot,314,2
Clay's Rumble Blade,367,5
Jestro's Evil Mobile,658,2
The Fortrex,1140,7
The Glob Lobber,95,2
Macy's Thunder Mace,202,3
Aaron Fox's Aero-Striker V2,301,3
General Magmar's Siege Machine of Doom,516,3
Axl's Tower Carrier,670,4
Jestro's Volcano Lair,1186,10
Merlok's Library 2.0,288,3
Infernox captures the Queen,253,2
The Black Knight Mech,530,4
The King's Mech,375,3
Ultimate Clay,72,1
Ultimate Macy,101,1
Ultimate Aaron,82,1
Ultimate Robin,75,1
Ultimate Beast Master,65,1
Ultimate Lavaria,69,1
Ultimate Axl,69,1
Ultimate Lance,75,1
Ultimate General Magmar,64,1
Ultimate Flama,67,1
Titanium Ninja Tumbler ,342,3
Rock Roader,406,4
Airjitzu Battle Grounds,666,5
Kryptarium Prison Breakout,207,5
Salvage M.E.C.,439,4
The Green NRG Dragon,567,5
The Lighthouse Siege,767,8
Ultra Stealth Raider,1093,7
Samurai X Cave Chaos,1253,8
Cole's Dragon,98,2
Ninja Bike Chase,231,3
Sky Shark,221,2
Jay's Elemental Dragon,350,2
Raid Zeppelin,294,3
Tiger Widow Island,450,5
Misfortune's Keep,754,6
LEGO Minifigures - Series 15 {Random bag},,
Farmer,1,1
Astronaut,1,1
Frightening Knight,1,1
Clumsy Guy,1,1
Tribal Woman,2,2
Flying Warrior,1,1
Faun,1,1
Animal Control Officer,1,1
Janitor,1,1
Ballerina,1,1
Laser Mech,1,1
Kendo Fighter,1,1
