link,price,title
https://atlanta.craigslist.org/atl/cto/d/duluth-2015-audi-a5-20t-premium-quattro/6936388480.html,$22500,2015 Audi A5 2.0T Premium quattro Coupe
https://atlanta.craigslist.org/nat/cto/d/rome-mazda-miata/6936383958.html,$3500,Mazda Miata
https://atlanta.craigslist.org/atl/cto/d/morrow-2009-lexus-es-350/6936383826.html,$4800,2009 LEXUS ES 350
https://atlanta.craigslist.org/wat/cto/d/dallas-2006-acura-rsx-type/6936383584.html,$8200,2006 Acura RSX Type S
https://atlanta.craigslist.org/wat/cto/d/douglasville-2012-ford-e150-cargo-van/6936383110.html,$6900,2012 FORD E150 CARGO VAN
https://atlanta.craigslist.org/wat/cto/d/douglasville-2011-chevrolet-express/6936382239.html,$8500,2011 CHEVROLET EXPRESS CARGO VAN G2500
https://atlanta.craigslist.org/wat/cto/d/douglasville-2011-mercedez-benz-ml350/6936380038.html,$8500,2011 MERCEDEZ-BENZ ML350
https://atlanta.craigslist.org/nat/cto/d/norcross-2003-nissan-altima-warranty/6936379906.html,$2300,2003 NISSAN ALTIMA/WARRANTY
https://atlanta.craigslist.org/atl/cto/d/smyrna-2010-ford-fusion-se/6936378979.html,$1300,2010 Ford Fusion SE
https://atlanta.craigslist.org/atl/cto/d/jackson-2013-ford-f150-raptor/6936378608.html,$37500,2013 Ford F150 Raptor
https://atlanta.craigslist.org/eat/cto/d/decatur-2003-ford-250-super-duty-4x4/6936376941.html,$3000,2003 Ford F-250 Super Duty 4x4
https://atlanta.craigslist.org/eat/cto/d/loganville-2012-kia-sorento-ex/6936374424.html,$5300,2012 Kia Sorento ex
https://atlanta.craigslist.org/atl/cto/d/smyrna-2004-ford-explorer-xlt/6936373978.html,$900,2004 Ford Explorer XLT
https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2006-chevy-express-g-rwd/6936373035.html,$3800,2006 CHEVY EXPRESS G2500 4.8 Rwd cargo van for work
https://atlanta.craigslist.org/eat/cto/d/loganville-2008-chrysler-aspen-limited/6936365401.html,$4300,2008 Chrysler aspen limited hemi
https://atlanta.craigslist.org/atl/cto/d/atlanta-2012-volkswagen-jetta-tdi/6936364394.html,$5950,2012 VOLKSWAGEN JETTA TDI PREMIUM FENDER NAVIGATION WARRANTY
https://atlanta.craigslist.org/nat/cto/d/alpharetta-2009-bmw-335i-e90-3-series-d/6936362722.html,$9300,2009 BMW 335i · E90 3 Series · 335 4D Sedan - Clean CARFAX !
https://atlanta.craigslist.org/eat/cto/d/flowery-branch-2004-chevrolet/6936362714.html,$3000,2004 Chevrolet TrailBlazer EXT LS
https://atlanta.craigslist.org/atl/cto/d/marietta-2003-chrysler-town-country/6936360824.html,$3300,2003 CHRYSLER TOWN &COUNTRY LIMITED
https://atlanta.craigslist.org/nat/cto/d/hiawassee-2012-nissan-370z-touring/6936359368.html,$25000,2012 Nissan 370Z Touring Roadster
https://atlanta.craigslist.org/nat/cto/d/alpharetta-2006-chevy-3500-silverado/6936357533.html,$6750,2006 Chevy 3500 Silverado 4x4 kuv
https://atlanta.craigslist.org/atl/cto/d/atlanta-1995-lincoln-town-car/6936356918.html,$1300,1995 Lincoln Town Car
https://atlanta.craigslist.org/atl/cto/d/marietta-2007-nissan-sentra-20-1-owner/6936356715.html,$3600,"2007 NISSAN SENTRA 2.0 ""1 OWNER"""
https://atlanta.craigslist.org/atl/cto/d/atlanta-2007-vw-jetta-wolfsburg-edition/6936352858.html,$4400,2007 VW Jetta Wolfsburg Edition
https://atlanta.craigslist.org/atl/cto/d/atlanta-2009-chevy-tahoe-c-is-ice-cold/6936351287.html,$2400,2009 Chevy Tahoe A/C is ice cold
https://atlanta.craigslist.org/eat/cto/d/grayson-2011-hyundai-sonata/6936341952.html,$4300,2011 Hyundai Sonata
https://atlanta.craigslist.org/atl/cto/d/stone-mountain-flatbed-62-diesel/6936341621.html,$5500,Flatbed 6.2 Diesel
https://atlanta.craigslist.org/nat/cto/d/atlanta-2016-lexus-nx-200t-navigation/6936339646.html,$25600,2016 Lexus NX 200t - Navigation- Safety- Luxury- AWD
https://atlanta.craigslist.org/atl/cto/d/clearmont-1996-ford-explorer/6936334262.html,$1400,1996 Ford Explorer
https://atlanta.craigslist.org/nat/cto/d/atlanta-2013-honda-cr-lx-brand-new/6936332462.html,$10600,2013 Honda CR-V LX- Brand New Tires- Backup Camera- Original Miles
https://atlanta.craigslist.org/atl/cto/d/douglasville-2013-infiniti-g37x-sedan/6936332421.html,$11800,2013 Infiniti G37x Sedan Grey 80K Miles Backup Camera G37 Leather
https://atlanta.craigslist.org/atl/cto/d/atlanta-lincoln-town-car/6936332346.html,$3500,LINCOLN TOWN CAR
https://atlanta.craigslist.org/atl/cto/d/marietta-2014-dodge-avenger-se-only-99k/6936329903.html,$4900,2014 DODGE AVENGER SE ONLY 99K
https://atlanta.craigslist.org/nat/cto/d/roswell-2006-infiniti-g35/6936329420.html,$3500,2006 Infiniti g35
https://atlanta.craigslist.org/nat/cto/d/tyro-2016-cadillac-xts-premium-39k-miles/6936328003.html,$25750,"2016 Cadillac XTS Premium, 39k miles"
https://atlanta.craigslist.org/atl/cto/d/atlanta-08-mercury-milan-176k-miles/6936325910.html,$1000,08 Mercury Milan 176k miles
https://atlanta.craigslist.org/atl/cto/d/marietta-2010-nissan-altima-coupe/6936322621.html,$5200,"2010 NISSAN ALTIMA COUPE "" BACKUP CAMERA"
https://atlanta.craigslist.org/eat/cto/d/loganville-1999-chevrolet-blazer/6936322230.html,$1950,1999 Chevrolet blazer
https://atlanta.craigslist.org/atl/cto/d/lawrenceville-honda-cr/6936321006.html,$3300,Honda CR-V
https://atlanta.craigslist.org/atl/cto/d/decatur-2012-nissan-altima/6936318592.html,$3999,2012 Nissan Altima
